Valeur debitee;Type;Date
-721.19;opbivpvirl;24/08/2004
-392.06;opbivpvirl;18/01/2006
498.50;krivirv;03/10/2005
-42.18;krivirv;29/08/2010
394.42;krivirv;06/06/2004
145.25;opbivpvirl;11/06/2007
64.78;opbivpvirl;22/01/2003
179.57;opbivpvirl;25/03/2003
-125.27;uepkpzeielvv;05/10/2010
-77.05;krivirv;20/11/2009
455.96;opbivpvirl;03/09/2005
-97.27;uepkpzeielvv;30/08/2006
117.10;opbivpvirl;05/11/2005
-221.26;uepkpzeielvv;07/01/2008
266.99;opbivpvirl;02/04/2007
186.75;opbivpvirl;10/02/2007
-50.44;opbivpvirl;25/01/2007
422.18;opbivpvirl;24/05/2007
391.07;opbivpvirl;17/01/2006
72.03;opbivpvirl;05/06/2007
-271.31;opbivpvirl;16/10/2005
388.07;opbivpvirl;08/05/2007
391.83;uepkpzeielvv;16/05/2005
411.78;opbivpvirl;25/07/2005
394.04;opbivpvirl;17/09/2007
248.05;opbivpvirl;01/01/2007
-298.53;opbivpvirl;24/09/2006
83.67;opbivpvirl;27/06/2007
267.49;opbivpvirl;09/04/2008
263.90;opbivpvirl;08/05/2008
-262.54;opbivpvirl;01/05/2008
432.45;opbivpvirl;13/04/2008
84.20;opbivpvirl;31/03/2008
101.62;opbivpvirl;01/03/2008
56.49;opbivpvirl;13/05/2008
230.56;opbivpvirl;23/03/2008
362.99;opbivpvirl;30/09/2007
14.18;opbivpvirl;06/11/2008
28.34;opbivpvirl;12/09/2007
187.16;opbivpvirl;19/12/2006
-100.32;opbivpvirl;14/11/2007
-370.29;opbivpvirl;22/10/2007
442.94;opbivpvirl;27/08/2007
-448.65;opbivpvirl;09/04/2008
-166.38;opbivpvirl;28/05/2007
-421.93;opbivpvirl;28/08/2008
216.21;opbivpvirl;08/07/2007
-366.44;opbivpvirl;28/06/2008
-307.61;opbivpvirl;23/10/2008
359.18;opbivpvirl;09/12/2007
-55.90;opbivpvirl;10/02/2008
87.40;opbivpvirl;21/12/2007
141.52;opbivpvirl;17/12/2007
66.14;opbivpvirl;27/02/2008
-300.77;opbivpvirl;15/06/2008
94.35;opbivpvirl;22/03/2009
391.93;opbivpvirl;18/10/2009
246.93;opbivpvirl;23/05/2008
348.04;opbivpvirl;04/08/2008
-266.62;opbivpvirl;26/06/2010
-118.37;opbivpvirl;25/09/2010
115.04;opbivpvirl;11/09/2010
429.97;opbivpvirl;09/10/2009
309.82;opbivpvirl;25/12/2008
-437.51;opbivpvirl;25/03/2009
-58.49;opbivpvirl;26/01/2009
131.53;opbivpvirl;29/11/2009
97.76;opbivpvirl;27/11/2009
-136.29;opbivpvirl;24/03/2009
-380.97;opbivpvirl;20/08/2011
158.19;opbivpvirl;04/10/2010
-361.53;opbivpvirl;01/08/2011
-169.93;opbivpvirl;18/05/2011
403.91;opbivpvirl;17/12/2011
-344.91;opbivpvirl;13/11/2011
63.49;opbivpvirl;23/10/2009
383.35;opbivpvirl;19/10/2010
22.91;opbivpvirl;20/02/2012
-223.52;opbivpvirl;05/01/2011
115.98;opbivpvirl;08/11/2010
-428.41;opbivpvirl;27/08/2011
136.64;opbivpvirl;12/10/2012
-219.36;opbivpvirl;30/03/2010
354.40;uepkpzeielvv;24/09/2003
-7.61;opbivpvirl;07/09/2007
-34.63;zriiulizpvirl;08/10/2006
-316.19;vrpvpik;07/08/2002
139.95;vrpvpik;08/12/2001
68.18;opbivpvirl;10/12/2004
44.53;opbivpvirl;06/04/2005
218.61;opbivpvirl;24/08/2006
169.98;opbivpvirl;30/09/2005
299.40;opbivpvirl;07/05/2006
-39.12;opbivpvirl;05/06/2006
-374.77;opbivpvirl;25/02/2005
366.05;uepkpzeielvv;30/09/2006
68.73;opbivpvirl;20/07/2006
-255.50;uepkpzeielvv;29/10/2002
-67.75;opbivpvirl;01/06/2003
-82.22;opbivpvirl;22/11/2004
-274.47;opbivpvirl;07/09/2003
-278.60;opbivpvirl;21/12/2002
-239.18;opbivpvirl;21/05/2004
-243.25;opbivpvirl;03/09/2003
-225.25;opbivpvirl;30/04/2003
106.58;opbivpvirl;10/05/2004
-211.90;opbivpvirl;05/06/2005
59.36;opbivpvirl;18/11/2003
205.75;opbivpvirl;17/05/2004
-196.41;opbivpvirl;06/06/2004
-86.70;opbivpvirl;20/09/2004
-109.79;opbivpvirl;08/09/2008
-233.51;opbivpvirl;07/05/2009
-179.63;krivirv;09/11/2010
208.38;opbivpvirl;24/09/2004
-62.15;krivirv;11/05/2010
-125.62;uepkpzeielvv;23/09/2006
-174.73;uepkpzeielvv;12/08/2009
-97.44;opbivpvirl;16/05/2010
206.33;opbivpvirl;03/02/2008
-96.89;opbivpvirl;29/04/2009
-103.97;opbivpvirl;09/06/2010
182.61;opbivpvirl;24/06/2004
-274.19;vplve;25/12/2011
-59.43;opbivpvirl;03/06/2003
196.71;opbivpvirl;13/12/2002
216.78;opbivpvirl;22/01/2003
-10.96;opbivpvirl;08/08/2003
-64.23;opbivpvirl;21/01/2003
-247.41;krivirv;15/02/2009
176.57;opbivpvirl;10/12/2000
1.23;vrpvpik;22/04/2002
-47.83;opbivpvirl;04/10/2004
74.15;opbivpvirl;25/07/2002
122.30;opbivpvirl;17/10/2004
-165.34;opbivpvirl;06/10/2003
232.27;opbivpvirl;25/04/2003
241.12;opbivpvirl;24/12/2003
23.32;opbivpvirl;26/12/2001
89.15;opbivpvirl;27/02/2002
82.93;opbivpvirl;10/07/2003
9.43;opbivpvirl;01/04/2003
-198.74;opbivpvirl;22/04/2002
25.95;opbivpvirl;01/01/2002
213.30;opbivpvirl;20/07/2003
169.59;opbivpvirl;12/06/2001
12.67;opbivpvirl;09/04/2000
-183.70;vrpvpik;11/12/2002
-178.46;opbivpvirl;15/06/2000
-186.66;opbivpvirl;04/01/2003
-200.32;opbivpvirl;16/12/2001
-121.91;opbivpvirl;27/09/2001
124.66;opbivpvirl;26/06/2001
-57.71;opbivpvirl;20/08/2001
38.85;opbivpvirl;27/04/2001
109.11;uepkpzeielvv;11/12/2008
4.64;uepkpzeielvv;25/05/2009
18.88;opbivpvirl;19/04/2000
-144.62;opbivpvirl;11/04/2002
184.77;opbivpvirl;26/01/2000
-60.03;opbivpvirl;10/09/2000
47.96;uepkpzeielvv;04/08/2009
-188.96;uepkpzeielvv;18/12/2007
196.22;uepkpzeielvv;01/11/2009
-80.66;uepkpzeielvv;07/01/2006
226.37;uepkpzeielvv;03/08/2006
-217.89;uepkpzeielvv;26/09/2002
